id,author_details,title,isbn,publisher,date_published,bookshelf,series_details,pages,description,genre,book_uuid
86,"Martin, George R.R.|Martin, George R. R.|Altieri, Sergio",Il regno dei lupi  - La regina dei draghi,9788804620907,Mondadori,2012-04-30,"Romanzi,",A Song of Ice and Fire (2)|Italian Edition|Le cronache del ghiaccio e del fuoco (2),982,"Time is out of joint. The summer of peace and plenty, ten years long, is drawing to a close, and the harsh, chill winter approaches like an angry beast. Two great leaders—Lord Eddard Stark and Robert Baratheon—who held sway over and age of enforced peace are dead...victims of royal treachery. Now, from the ancient citadel of Dragonstone to the forbidding shores of Winterfell, chaos reigns, as pretenders to the Iron Throne of the Seven Kingdoms prepare to stake their claims through tempest, turmoil, and war. <br><br>As a prophecy of doom cuts across the sky—a comet the color of blood and flame—six factions struggle for control of a divided land. Eddard’s son Robb has declared himself King in the North. In the south, Joffrey, the heir apparent, rules in name only, victim of the scheming courtiers who teem over King’s Landing. Robert’s two brothers each seek their own dominion, while a disfavored house turns once more to conquest. And a continent away, an exiled queen, the Mother of Dragons, risks everything to lead her precious brood across a hard hot desert to win back the crown that is rightfully hers. <br><br><em>A Clash of Kings</em> transports us into a magnificent, forgotten land of revelry and revenge, wizardry and wartime. It is a tale in which maidens cavort with madmen, brother plots against brother, and the dead rise to walk in the night. Here a princess masquerades as an orphan boy; a knight of the mind prepares a poison for a treacherous sorceress; and wild men descend from the Mountains of the Moon to ravage the countryside. <br><br>Against a backdrop of incest and fratricide, alchemy and murder, the price of glory may be measured in blood. And the spoils of victory may just go to the  men and women possessed of the coldest steel...and the coldest hearts. For when rulers clash, all of the land feels the tremors. <br><br>Audacious, inventive, brilliantly imagined, <em>A Clash of Kings</em> is a novel of dazzling beauty and boundless enchantment—a tale of pure excitement you will never forget.",Fiction / Fantasy / General,3e2e9613c2dbe3af1ed275f6c56a0f1d
87,"Lilin, Nicolai",Siberian Education: Growing Up in a Criminal Underworld,9788806219581,Einaudi,2014-01-01,"Romanzi,",,343,"La vita di un ragazzo siberiano educato da un'intera comunità criminale a diventare una contraddizione vivente, e cioè un «criminale onesto». Le avventure di strada, le giornate al fiume, gli scontri tra adolescenti guerrieri. E soprattutto il sapere dei vecchi, che portano l'esistenza tatuata sulla pelle e trasmettono con pazienza e rigore il loro modo di capire il mondo. La Transnistria, terra di tutti e di nessuno, crocevia di traffici internazionali e di storie d'uomini. Una grande epopea criminale raccontata da chi l'ha vissuta, con una forza che ti agguanta e non ti lascia più. Nicolai Lilin ha solo ventinove anni, ma ha da raccontare una vita straordinaria e un universo che non assomiglia a nessun altro: anche per questo Educazione siberiana è un libro unico, senza paragoni possibili. Cosa significa nascere, crescere, diventare adulti in una terra di nessuno, in un posto che pare - e non è - fuori dal mondo? Pochi forse hanno sentito nominare la Transnistria, regione dell'ex Urss autoproclamatasi indipendente nel 1990 ma non riconosciuta da nessuno Stato. In Trans-nistria, ai tempi di questa storia, la criminalità era talmente diffusa che un anno di servizio in polizia ne valeva cinque, proprio come in guerra. Nel quartiere Fiume Basso si viveva seguendo la tradizione siberiana e i ragazzi si facevano le ossa scontrandosi con gli sbirri o i minorenni delle altre bande. Lanciando mini molotov contro il distretto di polizia, magari: «Quando le vedevo attraversare il muro e sentivo le piccole esplosioni seguite dalle grida degli sbirri e dai primi segni di fumo nero che come fantastici draghi si alzavano in aria, mi veniva da piangere tanto ero felice». La scuola della strada voleva che presto dal coltello si passasse alla pistola. «Eravamo abituati a parlare di galera come altri ragazzini parlano del servizio militare o di cosa faranno da grandi». Ma l'apprendistato del male e del bene, per la comunità siberiana, è complesso, perché si tratta d'imparare a essere un ossimoro, e cioè un «criminale onesto». E quest'altra scuola, ben più importante di quella della strada, passa soprattutto attraverso i vecchi, i criminali anziani a cui la comunità riconosce lo specialissimo ruolo di «nonni» adottivi. Sono loro, giorno dopo giorno, a trasmettere valori che paiono in conflitto con quelli criminali: l'amicizia, la lealtà, la condivisione dei beni. L'amore per i disabili, che i siberiani chiamano «Voluti da Dio». E anche la cultura del tatuaggio, della pelle che dice il destino di ognuno. «Nonno Kuzja - scrive Lilin - non mi educava facendo lezioni, ma raccontando le sue storie e ascoltando le mie ragioni. Non parlava della vita dalla posizione di uno che la osserva dall'alto, ma da quella di un uomo che sta in piedi sulla terra e cerca di restarci il più a lungo possibile». Grazie alla forza della narrazione, quel mondo incredibile, tragico, dove la ferocia e l'altruismo convivono con naturalezza, diventa a poco a poco familiare e vero. Come lo stile, che è intenso ed espressivo, anche in virtù di una buona ma non perfetta padronanza dell'italiano, che risulta ora sgrammaticato, ora fin troppo esatto, ora contaminato. Uno stile a tratti spiazzante, con una sua dimensione etica, oppure decisamente comico, nei momenti di distensione che attraversano le pagine come la vita.",Fiction / General,79403562ee080594e21b0f3c65cde9e3
88,"McCarthy, Cormac|Testa, Martina",La Strada,9788806219369,Einaudi,2014-01-01,"Romanzi,",,220,"Un uomo e un bambino viaggiano attraverso le rovine di un mondo ridotto a cenere in direzione dell'oceano, dove forse i raggi raffreddati di un sole ormai livido cederanno un po' di tepore e qualche barlume di vita. Trascinano con sé sulla strada tutto ciò che nel nuovo equilibrio delle cose ha ancora valore: un carrello del supermercato con quel po' di cibo che riescono a rimediare, un telo di plastica per ripararsi dalla pioggia gelida e una pistola con cui difendersi dalle bande di predoni che battono le strade decisi a sopravvivere a ogni costo. E poi il bene piú prezioso: se stessi e il loro reciproco amore. Nell'insuperabile creazione di McCarthy, la post-apocalisse assume il volto realistico di un padre e un figlio in viaggio su un groviglio di strade senza origine, dentro una natura ridotta a involucro asciutto, fra le vestigia paurosamente riconoscibili di un mondo svuotato e inutile.",Fiction / General,39d1bb55dfbeb00d960673ee93670491
89,"Mitnick, Kevin D.|Galgani, Francesco",L'arte Dell'inganno. I Consigli Dell'hacker Più Famoso Del Mondo,9788807882463,Feltrinelli,2013-01-01,"Romanzi,",,336,"Il celebre pirata informatico spiega tutte le tecniche di ""social engineering"" che gli hanno permesso di violare sistemi di sicurezza ritenuti invulnerabili. Descrive le strategie impiegate dagli hacker, dagli agenti dello spionaggio industriale e dai criminali comuni per penetrare nelle reti. Si tratta di tecniche dell'""inganno"", di espedienti per usare la buona fede, l'ingenuità o l'inesperienza delle persone che hanno accesso alle informazioni ""sensibili""; tecniche paragonabili alle strategie che Sun Tzu descriveva nel suo trattato sull'arte della guerra. Anche in questo caso, la manipolazione del ""fattore umano"", la capacità di ""ricostruire"" le intenzioni, la mentalità e il modo di pensare del nemico diventa lo strumento più micidiale.",Computers / Security / General,d358ed11e6b0ef63ea536f38ee231725
90,"Martin, George R.R.|Altieri, Sergio|Martin, George R. R.|Martin, George R.",Il Trono Di Spade - Il Grande Inverno,9788804616351,Mondadori,2011-10-01,"Romanzi,",A Song of Ice and Fire (1)|As Crónicas de Gelo e Fogo / Das Lied von Eis und Feuer (1)|Le cronache del ghiaccio e del fuoco (1)|Italian Edition,855,"In una terra fuori dal mondo, dove le estati e gli inverni possono durare intere generazioni, sta per esplodere un immane conflitto. Sul Trono di Spade, nel Sud caldo e opulento, siede Robert Baratheon. L'ha conquistato dopo una guerra sanguinosa, togliendolo all'ultimo, folle re della dinastia Targaryen, i signori dei draghi. Ma il suo potere è ora minacciato: all'estremo Nord, la Barriera - una muraglia eretta per difendere il regno da animali primordiali e, soprattutto, dagli Estranei - sembra vacillare. Si dice che gli Estranei siano scomparsi da secoli. Ma se è vero, chi sono allora quegli esseri con gli occhi così innaturalmente azzurri e gelidi, nascosti tra le ombre delle foreste, che rubano la vita, o il senno, a chi ha la mala sorte di incontrarli? La fine della lunga estate è vicina, l'inverno sta arrivando e non durerà poco: solo un nuovo prodigio potrà squarciare le tenebre.",Fiction / Sagas,ff98edacfae418b744adfe6b43949a3c
91,"Ginzburg, Carlo",Storia Notturna. Una Decifrazione Del Sabba,9788806193072,Einaudi,2008-02-15,"Romanzi,",,320,"Per più di tre secoli, da un capo all'altro d'Europa, donne e uomini accusati di stregoneria raccontarono di essersi recati al sabba: il raduno notturno in cui, alla presenza del diavolo, si celebravano banchetti, orge sessuali, cerimonie antropofagiche, profanazioni di riti cristiani. In queste descrizioni, spesso estorte con la tortura, oggi si tende a riconoscere il frutto delle ossessioni di inquisitori e giudici. Questo libro, attraverso l'analisi di processi, trattati di demonologia, prediche, documenti iconografici, materiale folklorico, propone un'interpretazione diversa. In essa eventi e strutture, storia e morfologia si susseguono, contrappongono, si intrecciano. Dietro l'immagine enigmatica del sabba vediamo affiorare a poco a poco uno strato antichissimo, con ogni probabilità più che millenario, di miti e riti eurasiatici a sfondo sciamanico.",Social Science / Anthropology / Cultural,0b0ee5897184889446f8b3e438818bc9
92,"Murakami, Haruki|Pastore, Antonietta|Haruki, Murakami",Nel Segno Della Pecora,9788806209049,Einaudi,2011-11-01,"Romanzi,",The Rat Series (3)|Italian Edition|The Rat (3),316,"Un giovane agente pubblicitario, abbandonato dalla moglie che lo trova «noioso», vede sconvolta la sua rassicurante monotonia da un compito bizzarro e quasi impossibile che gli viene affidato da un losco individuo: deve ritrovare una pecora. Ha poco tempo e non può rifiutare.<br>Unico indizio: la pecora ha una macchia a forma di stella sulla schiena. Inizia cosí un'avventura lungo un Giappone fiabesco, grottesco e surreale, accompagnato da una ragazza con le orecchie bellissime e dotata di poteri sovrannaturali.<br>Nel segno della pecora è il romanzo che definisce la poetica di Murakami: uno scenario onirico in cui il quotidiano diventa surreale, scandito da una playlist di capolavori della musica, alla ricerca di un ovino ma in realtà di un senso della vita. C'è un posto per la pecora di Murakami in una ipotetica «arca letteraria», insieme allo scarafaggio di Kafka, i maiali di Orwell, l'elefante di Saramago e Moby Dick.",Fiction / General,5f4493681976fff824f560d56ab54fcb
93,"Murakami, Haruki|Amitrano, Giorgio",1q84. Libro 3: Ottobre-dicembre,9788866213468,Einaudi,2013-01-01,"Romanzi,",1Q84 (3),408,"Aomame e Tengo sono da mesi persi sotto un cielo ostile in cui brillano due lune, separati eppure uniti da qualcosa di invisibile, come solo il destino può essere. Minacciati dalla setta Sakigake e da forze ancora piú sinistre, braccati dall'investigatore Ushikawa, tanto geniale quanto pericoloso, sono ormai alla fine del viaggio. La storia di un amore che deve superare ostacoli, risolvere enigmi, attraversare universi, per dare un senso alla realtà.",Fiction / General,5b52ccd3993f25b66dc6ec7e98a5695d
94,"Reichs, Kathy",Le Ossa Non Mentono,9788817077224,Rizzoli,2014-08-27,"Romanzi,",Temperance Brennan (17),384,"Convocata inaspettatamente dalla Sezione casi irrisolti del Dipartimento di polizia di Charlotte-Mecklenburg, la dottoressa Temperance Brennan deve fare luce sulla morte di due ragazzine scomparse e trovate tempo dopo a migliaia di chilometri di distanza l’una dall’altra. Dietro gli efferati omicidi sembra esserci la mano della stessa assassina: Anique Pomerleau, una vecchia conoscenza dell’antropologa forense, che anni prima aveva rapito, torturato e ucciso alcune giovani riuscendo poi a fuggire e sparire nel nulla. Forse la sconfitta più bruciante nella carriera della dottoressa Brennan e del detective Ryan. E ora, come evocata dai loro peggiori incubi, la più letale delle psicopatiche potrebbe essere tornata. Quando un’altra ragazzina viene rapita, Tempe capisce di doverla fermare a ogni costo, e per arginare la scia di sangue non le rimane che un modo: convincere il suo ex partner Ryan a rientrare dall’esilio volontario in Costa Rica. Soltanto lavorando di nuovo insieme, accettando di inseguire il più pericoloso dei predatori negli oscuri abissi della sua follia, i due potranno stanarla e mettere fine all’inferno. Con Le ossa non mentono Kathy Reichs, ancora una volta, si mantiene all’altezza delle aspettative regalando un nuovo romanzo carico di tensione psicologica.",Fiction / Thrillers / Suspense,4622a9dcebcf65e748696c10d31c9e57
95,"Murakami, Haruki|Pastore, Antonietta",L'uccello Che Girava le Viti Del Mondo,9788806216689,Einaudi,2013-03-19,"Romanzi,",Italian Edition|ねじまき鳥クロニクル,840,"In un sobborgo di Tokyo il giovane Okada Toru ha appena lasciato volontariamente il suo lavoro e si dedica alle faccende di casa. Due episodi apparentemente insignificanti riescono tuttavia a rovesciare la sua vita tranquilla: la scomparsa del suo gatto e la telefonata anonima di una donna dalla voce sensuale. Toru si accorgerà presto che oltre al gatto, a cui la moglie Kumiko è molto affezionata, dovrà cercare Kumiko stessa. Lo spazio limitato del suo quotidiano diventerà il teatro di una ricerca in cui sogni, ricordi e realtà si confondono e che lo porterà a incontrare personaggi sempre più strani: dalla prostituta psicotica alla sedicenne morbosa, dal politico diabolico al vecchio e misterioso veterano di guerra. A poco a poco Toru dovrà risolvere i conflitti della sua vita passata di cui nemmeno sospettava l'esistenza.<br>Un intrigante romanzo che illumina quelle zone d'ombra in cui ognuno nasconde segreti e fragilità.",Fiction / General,22bee62f5ef50156a8d6ea3c38c16c7d
96,"Sorrentino, Paolo",Hanno Tutti Ragione,9788807880414,Feltrinelli,2012-12-27,"Romanzi,",Tony Pagoda (1),320,"Tony Pagoda è un cantante melodico con tanto passato alle spalle. La sua è stata la scena di un'Italia florida e sgangheratamente felice, tra Napoli, Capri e il mondo. E' stato tutto molto facile e tutto all'insegna del successo. Ha avuto il talento, i soldi, le donne. E inoltre ha incontrato personaggi straordinari e miserabili, maestri e compagni di strada. Da tutti ha saputo imparare e ora è come se una sfrenata, esuberante saggezza si sprigionasse da lui senza fatica. Ne ha per tutti e, come un Falstaff contemporaneo, svela con comica ebbrezza di cosa è fatta la sostanza degli uomini, di quelli che vincono e di quelli che perdono. C'è ancora una vita che lo aspetta.",Fiction / General,00c066a4eed4eb84d57d4ae4ef8cc012
97,"Calvino, Italo|ITALO, CALVINO",Orlando Furioso Raccontato Da Italo Calvino,9788804524403,Mondadori,2003-01-01,"Romanzi,",,416,Un grande narratore e saggista del Novecento introduce al mondo poetico di uno dei più geniali e fantasiosi autori della nostra letteratura.,Poetry / General,455f3de10f6f1ddf2fd3e61bdbb8eabb
98,"Fallon, Steve",Budapest (Lonely Planet City Guides),9788870636574,Edt,2004-05-28,"Viaggi,",Italian Edition,256,"È conosciuta come la ""Parigi dell'Est"", le sue architetture, infatti, sono incantevoli e il suo patrimonio culturale ricchissimo. I ponti sul Danubio, che congiungevano Buda e Pest, le due antiche anime della città l'una così tranquilla e l'altra così irrequieta e moderna, sono oggi fili magici che uniscono la parte occidentale e quella orientale della complessa identità di questa città senza eguali. La guida contiene un approfondimento sull'architettura ""fin de siècle"", un inserto dedicato agli stabilimenti termali, una guida linguistica completa di glossario e infine una serie di indirizzi e informazioni sulle modalità del viaggio, sui trasporti e sugli alloggi.",Travel / Special Interest / Ecotourism,5d2e1f5e4c7ed2b50dc6285e338a7ceb
99,"Bain, Carolyn|Cornwallis, Graeme",Lonely Planet: Svezia,9788870636680,Edt,2003-06-27,"Viaggi,",Italian Edition,384,"Oltre a foreste e laghi, al leggendario sole di mezzanotte e all'aurora boreale, la Svezia è: 1140 fortezze preistoriche, 2500 pietre con iscrizioni runiche, 3000 chiese, 28 parchi nazionali, più di 10.000 km di sentieri da percorrere a piedi e in bicicletta, 12 castelli reali, centinaia di musei eccellenti, più di 25.000 cimiteri e tumuli.",Travel / Special Interest / Ecotourism,302685cdce5c03fc2e55e5bc05b35ef7
100,"Acciano, Reuben|Gray, Jeremy|Planet, Lonely|(geografo.), Jeremy Gray",Olanda,9788870637274,Edt,2004-11-19,"Viaggi,",Lonely Planet Country Guide|Netherlands|Italian,384,"Non solo per le sue dighe e le città costruite sotto il livello del marel'Olanda è un paese eccezionale, ma anche per le splendide isole spazzate dalvento e le spiagge dorate che orlano il nord, per i laghi scintillanti eplacidi della Frisia, per i musei e le gallerie di Amsterdam, per l'atmosferaseicentesca di Haarlem, per l'energia scoppiettante della vita notturna diRotterdam. E ovunque un'elegante facciata, una fortezza, ovunque mulini avento, ospitali bruin café e, in primavera, coloratissimi tulipani. La guidapresenta: una sezione dedicata a chi vuole visitare l'Olanda in bicicletta;consigli per il pernottamento: dagli ostelli agli alberghi di lusso; utili edettagliate cartine per passeggiate ed escursioni.",Travel / Reference,bdeafe6209d0b83b92d8c47b7046c960
101,"Webb, Sally|Webb, S.|Gillman, H.|Cavedoni, S.|Cavedoni, Stefano|Gillman, Helen",Roma,9788870635607,Lonely Planet Publications - Italian Editions,2002-02-01,"Viaggi,",Lonely Planet City Guides|Italian Edition,320,"Città dalle origini misteriose, Roma conserva tutt'oggi un'atmosfera inimitabile: le sue piazze, i monumenti, le chiese, le rovine archeologiche e i sontuosi giardini, opere d'arte perfettamente integrate nella vita quotidiana, offrono 2500 anni di testimonianze storiche. Dagli inestimabili affreschi della Cappella Sistina alle imponenti rovine del Foro, centro commerciale e politico della Roma antica, da Piazza Navona, vero gioiello architettonico circondato da ricchi palazzi barocchi, alle impressionanti catacombe scavate nella roccia, ogni angolo della città affascina e sorprende chi la visita.",Travel / Special Interest / Ecotourism,81516389f7dee16ce1f1ea16f5fec903
102,"Greenfield, Beth|Reid, Robert|Otis, Ginger Adams|Planet, Lonely|Beth. Reid, Robert. Otis",Lonely Planet New York City,9788860400895,Edt,2007,"Viaggi,",Lonely Planet City Guide|Lonely Planet,512,"Potrete odiarne il traffico, non sopportarne gli odori o l'arroganza con cui si definisce ""capitale del mondo"", disprezzare il fatto che si viva l'uno sulla testa dell'altro. Oppure incantarvi sullo skyline, farvi catturare dalla multietnicità, o semplicemente amarla alla follia. Quel che sicuramente non vi accadrà è di restare indifferenti alle streets e alle avenues, al fascino insuperabile del Ponte di Brooklyn e del Central Park, o di non esser travolti dalla esuberante vitalità che della 'Grande Mela' è il maggiore richiamo. La quarta edizione di questa guida contiene alcune novità: consigli d'autore, più alberghi, più ristoranti, cartine più facili da consultare.",Travel / Reference,ab5693a0aab76f1f63cbd305a210f5c6
103,"Various, |Davonport, Fionn|Davenport, Fionn",Irlanda,9788860402646,Edt,2008-01-01,"Viaggi,",Lonely Planet Guide|Lonely Planet Italian,827,"In Irlanda potrete ascoltare il rumore del vento che soffia sui muretti di pietra, mentre passeggiate sull'isola di Inisheer. Assaggiate poi i prodotti locali a Kinsale, capitale gastronomica del paese. Infine scambiate battue con il vostro tassista mentre osservate i murales politici di West Belfast. Levate i boccali e battete il ritmo coi piedi durante una session di musica tradizionale a Doolin e Kilfenora. Sette autori, oltre 200 giorni di ricerca e fiumi di birra scura.",Travel / Reference,d5b6e4f0ea75aa8ff2821e8c5f8f53c9
104,"Haywood, Kerry Walker Anthony|Haywood, Anthony|Walker, Kerry",Austria,9788860402943,Edt,2008-01-01,"Viaggi,",,513,"Questa guida propone itinerari attraverso il Paese di Mozart, alla ricerca delle marmotte lungo gli stupendi sentieri alpini, tra le sale da concerto di Vienna e i bar alternativi del lungofiume di Salisburgo. Questa edizione comprende un nuovo capitolo sull'escursionismo, con 12 itinerari che spaziano dalle impegnate scalate di più giorni alle passeggiate per famiglie.",Travel / Reference,61565864662f16e198ac29e050e4c75b
105,"EDT, |Way, Charles Rawlings",Nuova Zelanda,9788860407108,Edt,2011-01-01,"Viaggi,",,906,"Per descrivere la Nuova Zelanda si possono usare tutti i superlativi a disposizione: un paese di piccole dimensioni che è anche un microcosmo di tutte le più affascinanti bellezze naturali del nostro pianeta. Vulcani attivi, foreste pluviali, regioni geo-termali, alcuni degli alberi più antichi della terra. Il mare, poi, è la casa dei pinguini, balene e delfini che giocano con chi nuota in mezzo a loro. Rafting, arrampicata, sci e molto altro per gli sportivi. Chi visita questo paese normalmente lamenta solo una cosa: non avere più tempo da dedicargli. Il volume contiene l'""Indice verde"", il nuovo indice per i viaggi ecosostenibili.",Travel / Reference,62798f1bf9aa0d349d7f8b6287f0fd5b
106,"Zerocalcare, ",Dimentica Il Mio Nome,9788865432549,Bao Publishing,2014-10-16,"Romanzi,",,240,"Quando l'ultimo pezzo della sua infanzia se ne va, Zerocalcare scopre cose sulla propria famiglia che non aveva mai neanche lontanamente sospettato. Diviso tra il rassicurante torpore dell'innocenza giovanile e l'incapacità di sfuggire al controllo sempre più opprimente della società, dovrà capire da dove viene veramente, prima di rendersi conto di dove sta andando. <br>A metà tra fatti realmente accaduti e invenzione, Dimentica il mio nome è un piccolo gioiello narrativo, la conferma, se mai ce ne fosse bisogno, di un talento puro e innegabile.",Comics & Graphic Novels / General,933f60d50a4c571beae70caa427737b2
107,"Degasperi, Fiorenzo|Degasperi, Fiorenzo.",Archeologia. in Trentino Alto Adige Quando I Santi Si Chiamavano Dei,9788889898772,Curcu & Genovese Ass.,2009-01-01,"Archeologia,",,384,"Trento, 2009; ril., pp. 392, ill. e tavv. col., cm 23,5x28.",Social Science / Folklore & Mythology,48c62fb9bdf7d30336befe8843e31b88
108,"Pennac, Daniel|Mélaouah, Yasmina",La Lunga Notte Del Dottor Galvan,9788807840586,Feltrinelli,2005-10-21,"Romanzi,",Italian Edition,77,"Giovane medico del pronto soccorso, Gerard Galvan racconta una folle notte di molti anni prima, quando fra crisi di asma e arti spappolati era stato finalmente notato un uomo seduto su una sedia che ripeteva: ""Non mi sento tanto bene"". Il malato passa da tutti gli specialisti, convocati d'urgenza a risolvere uno dopo l'altro crisi acute di ogni genere: dall'occlusione intestinale all'esplosione della vescica, all'attacco epilettico. Rimasto accanto al suo letto, Galvan si addormenta e al mattino il malato non c'è più. È morto? È sparito? Dove è stato portato? Galvan non sa neppure come si chiama. Nessuno lo sa. Ma il paziente riappare e le cose che dirà e farà saranno per il buon Galvan la fine di un sogno.",Fiction / General,b78b9c8e71dba9a9ed5d468e9419a05d
109,"Camilleri, Andrea",L'odore Della Notte,9788838917295,Sellerio,2001-06-29,"Romanzi,",Commissario Montalbano (6)|Italian Edition,221,"A Vigàta è tornato l'inverno. E il commissario Montalbano non è più un ragazzino. Lo si avverte perché i segni lasciati da tutte le inchieste passate riaffiorano qua e là, con i colori della nostalgia, a ogni passo di quest'ultimo caso. Un caso anomalo in cui il cadavere non spunta all'inizio e Montalbano non ne è proprio il titolare, ma vi si intrufola. Troppe coincidenze lo spingono. Scava nella scomparsa di un finanziere truffatore, che si è portato via i soldi di mezzo paese e dintorni, e poi del suo aiutante. E la soluzione sarebbe una fuga banale, col malloppo sottratto ai molti polli dell'epoca della borsa, connessa a un omicidio, se non si profilasse una soluzione alternativa, assai più carica di dolente orrore.",Fiction / Mystery & Detective / General,cb89a719646e96882a94f5f540d7ae04
110,"Camilleri, Andrea",La Gita a Tindari,9788838915741,Sellerio,2000-11-07,"Romanzi,",Commissario Montalbano (5)|Italian Edition,291,"Sta invecchiando il commissario Montalbano? No, non è questo. É l'amarezza per un caso dai retroscena sconcertanti e orrendi. É il saluto del nuovo secolo a questo Maigret siculo, più colto, più teso e irregolare. Egli indaga tra l'immaginaria Vigàta e Tindari, il promontorio a picco sul mare «col piccolo, misterioso teatro greco e la spiaggia a forma di una mano con le dita rosa». Un triplice omicidio è avvenuto - un giovane dongiovanni che viveva al di sopra dei suoi mezzi apparenti, due anziani pensionati seppelliti in casa che improvvisamente decidono una gita a Tindari. Li collega, sembra, solo un condominio. Ma Montalbano ha una maledizione, sa leggere i segni che provengono dall'antichissimo che vive nel modernissimo continente Sicilia: lo aiutano un vecchio ulivo contorto, la sua squadra, la svedese Ingrid, un libro di Conrad, e un Innominato senza pentimento.",Fiction / Mystery & Detective / General,987c101e9c623fbdab0b88b34c6cce97
111,"Camilleri, Andrea|Novelli, Mauro",Un Mese Con Montalbano,9788804467694,Arnoldo Mondadori Editore,1999-01-01,"Romanzi,",Commissario Montalbano,355,"Salvo Montalbano è un commissario di polizia che si sforza di perseguire un suo ideale di giustizia nel cuore della Sicilia. Un uomo con un'esistenza comune, da funzionario integerrimo, con un'eterna fidanzata lontana, in Liguria, e tre grandi passioni: mangiare, bere, leggere buoni libri. Scorbutico ma umano, ironico e intelligente, affronta un mondo feroce e violento con le armi della pietà e talvolta dell'umorismo.",Fiction / Short Stories (single author),fdd53c6ae7093364e10141754adca638
112,"Rotterdam, Erasmo da|Erasmus, |Fiorini, Silvia|Lacertosa, Massimiliano",Elogio Della Follia,9788807901133,Feltrinelli,2014-07-01,"Romanzi,",,129,"Capolavoro di uno dei più illustri rappresentanti dell’Umanesimo europeo, divertente quanto sferzante critica alla tracotanza umana, <i>Elogio della Follia</i> è senza dubbio una delle opere centrali del canone filosofico e letterario mondiale. Ma non è un’opera irraggiungibile e criptica: al contrario, è amata proprio per la sua scrittura potente e corrosiva, per la forza drammatica che nasce dall’idea di far parlare la Follia in prima persona. Come una gran dama dall’intelligenza devastante, la Follia, tessendo un raffinato autoelogio, mette alla berlina uno per uno tutti i limiti, le meschinità e le bassezze dell’umanità. Non ci sono sconti per nessuno, a prescindere dallo stato sociale e dal prestigio accumulato. Gli esseri umani sono messi a nudo nella povera essenza che tutti li accomuna, costretti a rinunciare alle consuete pompose vesti di governanti, letterati, religiosi. Erasmo non procede però a una pura opera di demolizione: al cuore dell’Elogio pulsa un accorato invito a considerare il messaggio di Cristo nella sua pienezza e a conformare le nostre vite alle sue parole, senza false interpretazioni.",,e6ae8349f34a33883d6ac123a6a0753d
113,"De Crescenzo, Luciano",Ti Porterà Fortuna. Guida Insolita Di Napoli,9788804640646,Mondadori,2014-01-01,"Romanzi,",,161,"""Se vuoi conoscere davvero un po' del mio pensiero, supposto che ne abbia uno, abbiamo una sola scelta: andare insieme a Napoli. Solo nella mia città posso mostrarti come mi sono formato. Potrai osservare il mondo che ha orientato la mia esistenza, il mondo che ha fatto di me un napoletano in ogni istante della mia vita. Che ne dici?"" Carla, una giovane studentessa universitaria di Bologna, vuol fare una tesi di laurea su Luciano De Crescenzo, e gli chiede, in una lettera appassionata, di poterlo incontrare. Lui accetta, ma a una condizione: che il loro colloquio si svolga passeggiando per le strade e i vicoli di Napoli. In questo filosofare camminando, la ragazza curiosa e lo scrittore saggio si lasciano ispirare dagli scorci e dai personaggi che la città partenopea regala e ci offrono così un aneddoto che fa sorridere, una storia che sorprende, una riflessione che spiazza e apre la mente. Moderni peripatetici, parlano della semplicità e della passione, della musica e dell'arte, del tempo e dell'amore, del caso e della fortuna. Citano Diogene e il guardiamacchine Raffaele, Platone e Taniello, il principe degli osti partenopei. Dopo quello degli altri filosofi, Luciano De Crescenzo ci espone il proprio pensiero, sempre leggero e spesso illuminante. ""E vedrai, Napoli porterà fortuna anche a te...""",Social Science / Popular Culture,1d90b171aa904b39112402c7e276bfef
114,"Zerocalcare, ",Dodici,9788865431801,Bao Publishing,2013-10-17,"Romanzi,",,95,"Zerocalcare (il personaggio) è in coma, gli zombie stanno per decimare quel che resta della popolazione di Rebibbia e tocca a Secco, Katja e all'amico Cinghiale trovare un mezzo per scappare da una situazione ormai compromessa. Prendendosi una pausa dal suo abituale sguardo sul mondo (e da se stesso come protagonista,  Zerocalcare (l'autore) lascia andare a briglia sciolta le sue innumerevoli paranoie apocalittiche e racconta una storia avventurosa di rivalsa, rancore e speranza per il futuro, che fa il giro largo per spiegare l'incrollabile amore per un quartiere che tutto il mondo crede essere solamente un carcere.",Comics & Graphic Novels / General,58688247d8e0d2d8ae03902aba147f5d
115,"De Crescenzo, Luciano",Usciti in Fantasia: Nove Racconti,9788804384397,Arnoldo Mondadori,1994,"Romanzi,",I libri di Luciano De Crescenzo,116,,,9dde63cbe4d4412f4af092bdb104d9bf
